PRODUTO;UF;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023
AÇÚCAR CRISTAL (2 kg);ES;7.96;8.01;7.46;7.80;8.13;8.33;8.32;8.27;8.36;8.43;8.54
AÇÚCAR CRISTAL (2 kg);GO;7.81;8.07;7.98;8.12;8.43;9.09;9.27;8.46;8.30;8.11;8.48
AÇÚCAR CRISTAL (2 kg);PR;7.61;7.00;7.58;7.58;7.62;7.60;8.09;7.82;7.79;7.25;0.0
AÇÚCAR CRISTAL (2 kg);RO;7.20;7.04;6.91;6.75;6.83;6.53;6.44;6.51;6.29;6.48;6.79
AÇÚCAR CRISTAL (2 kg);TO;7.99;7.90;7.95;8.08;8.20;7.97;7.88;7.86;7.56;7.80;8.14
AÇÚCAR CRISTAL (5.00 kg);DF;16.91;16.80;16.54;16.49;16.67;16.59;16.89;18.09;17.44;17.19;17.95
AÇÚCAR CRISTAL (5 kg);ES;18.32;17.93;17.91;17.61;17.93;18.72;18.20;18.03;18.45;18.70;19.14
AÇÚCAR CRISTAL (5 kg);GO;17.39;17.65;18.06;18.05;18.54;20.09;19.86;19.70;19.08;18.84;19.99
AÇÚCAR CRISTAL (5 kg);MA;19.10;18.84;19.02;19.49;20.67;20.90;19.74;19.76;19.93;19.55;19.02
AÇÚCAR CRISTAL (5 kg);MG;16.15;16.09;15.80;15.52;16.89;15.97;17.46;16.75;16.38;16.09;16.34
AÇÚCAR CRISTAL (5 kg);PR;19.76;17.92;18.90;18.03;19.19;20.49;20.24;18.49;18.29;17.73;17.83
AÇÚCAR CRISTAL (kg);AC;3.99;4.00;4.00;4.00;4.00;3.96;3.92;3.92;3.92;3.95;3.96
AÇÚCAR CRISTAL (kg);AL;3.65;3.61;3.53;3.66;3.98;4.31;4.33;4.20;4.05;3.97;4.12
AÇÚCAR CRISTAL (kg);AM;4.31;4.31;4.38;4.38;4.38;4.33;4.44;4.07;4.06;3.97;3.88
AÇÚCAR CRISTAL (kg);AP;3.65;3.61;3.65;3.81;3.95;4.27;4.30;4.07;3.99;3.97;4.23
AÇÚCAR CRISTAL (kg);BA;3.53;3.60;3.37;3.54;3.87;3.89;3.76;3.67;3.50;3.71;3.95
