CD_MUN;NM_MUN;SIGLA_UF;AREA_KM2;NM_REGIAO;CD_UF;NM_UF
1500909;Augusto Corrêa;PA;1099.619;Norte;15;Pará
1501709;Bragança;PA;2124.734;Norte;15;Pará
1502509;Chaves;PA;12534.995;Norte;15;Pará
1502608;Colares;PA;384.068;Norte;15;Pará
1502905;Curuçá;PA;676.322;Norte;15;Pará
1504109;Magalhães Barata;PA;323.984;Norte;15;Pará
1504307;Maracanã;PA;807.628;Norte;15;Pará
1504406;Marapanim;PA;804.625;Norte;15;Pará
1506112;Quatipuru;PA;302.939;Norte;15;Pará
1506203;Salinópolis;PA;226.120;Norte;15;Pará
1506302;Salvaterra;PA;918.563;Norte;15;Pará
1507102;São Caetano de Odivelas;PA;464.166;Norte;15;Pará
1507474;São João de Pirabas;PA;668.434;Norte;15;Pará
1507904;Soure; ;2857.349;Norte;15;Pará
1508035;Tracuateua;PA;868.025;Norte;15;Pará
1508209;Vigia;PA;401.589;Norte;15;Pará
1508308;Viseu;PA;4972.897;Norte;15;Pará
1600105;Amapá;AP;8454.847;Norte;16;Amapá
1600204;Calçoene;AP;14117.297;Norte;16;Amapá
1600303;Macapá;AP;6563.849;Norte;16;Amapá
1600501;Oiapoque;AP;23034.392;Norte;16;Amapá
2100204;Alcântara;MA;1167.964;Nordeste;21;Maranhão
2100832;Apicum-Açu;MA;341.120;Nordeste;21;Maranhão
2100907;Araioses;MA;1789.730;Nordeste;21;Maranhão
2101103;Axixá;MA;160.462;Nordeste;21;Maranhão
2101251;Bacabeira;MA;542.962;Nordeste;21;Maranhão
2101301;Bacuri;MA;850.491;Nordeste;21;Maranhão
2101350;Bacurituba;MA;413.651;Nordeste;21;Maranhão
2101707;Barreirinhas;MA;3046.308;Nordeste;21;Maranhão
2101905;Bequimão;MA;790.222;Nordeste;21;Maranhão
2102408;Cajapió;MA;545.244;Nordeste;21;Maranhão
2102606;Cândido Mendes;MA;1634.861;Nordeste;21;Maranhão
2102903;Carutapera;MA;1260.977;Nordeste;21;Maranhão
2103109;Cedral;MA;285.211;Nordeste;21;Maranhão
2103703;Cururupu;MA;1257.608;Nordeste;21;Maranhão
2104305;Godofredo Viana;MA;720.129;Nordeste;21;Maranhão
2104909;Guimarães;MA;478.857;Nordeste;21;Maranhão
2105005;Humberto de Campos;MA;1714.625;Nordeste;21;Maranhão
2105104;Icatu;MA;1124.445;Nordeste;21;Maranhão
2106201;Luís Domingues;MA;472.296;Nordeste;21;Maranhão
2107506;Paço do Lumiar;MA;127.193;Nordeste;21;Maranhão
2108058;Paulino Neves;MA;979.482;Nordeste;21;Maranhão
2109056;Porto Rico do Maranhão;MA;244.979;Nordeste;21;Maranhão
2109403;Primeira Cruz;MA;1337.161;Nordeste;21;Maranhão
2109452;Raposa;MA;79.213;Nordeste;21;Maranhão
2109601;Rosário;MA;647.998;Nordeste;21;Maranhão
2110203;Santa Rita;MA;756.797;Nordeste;21;Maranhão
2110278;Santo Amaro do Maranhão;MA;1582.806;Nordeste;21;Maranhão
2111003;São João Batista;MA;649.956;Nordeste;21;Maranhão
2111201;São José de Ribamar;MA;180.363;Nordeste;21;Maranhão
2111300;São Luís;MA;583.063;Nordeste;21;Maranhão
2111789;Serrano do Maranhão;MA;1165.318;Nordeste;21;Maranhão
2112407;Turiaçu;MA;2622.281;Nordeste;21;Maranhão
2112506;Tutóia;MA;1566.080;Nordeste;21;Maranhão
2202083;Cajueiro da Praia;PI;271.165;Nordeste;22;Piauí
2204659;Ilha Grande;PI;129.696;Nordeste;22;Piauí
2205706;Luís Correia;PI;1074.132;Nordeste;22;Piauí
2207702;Parnaíba;PI;436.907;Nordeste;22;Piauí
