COD_IBGE|NIVEL_IBGE|NIVEL_NOME|MUNICIPIO|POPULACAO|UF
1100015|N6|Município|Alta Floresta D'Oeste|22516|RO
1100023|N6|Município|Ariquemes|111148|RO
1100031|N6|Município|Cabixi|5067|RO
1100049|N6|Município|Cacoal|86416|RO
1100056|N6|Município|Cerejeiras|16088|RO
1100064|N6|Município|Colorado do Oeste|15213|RO
1100072|N6|Município|Corumbiara|7052|RO
1100080|N6|Município|Costa Marques|19255|RO
1100098|N6|Município|Espigão D'Oeste|33009|RO
1100106|N6|Município|Guajará-Mirim|46930|RO
1100114|N6|Município|Jaru|51469|RO
1100122|N6|Município|Ji-Paraná|131026|RO
1100130|N6|Município|Machadinho D'Oeste|41724|RO
1100148|N6|Município|Nova Brasilândia D'Oeste|20504|RO
1100155|N6|Município|Ouro Preto do Oeste|35445|RO
1100189|N6|Município|Pimenta Bueno|37098|RO
1100205|N6|Município|Porto Velho|548952|RO
1100254|N6|Município|Presidente Médici|18165|RO
1100262|N6|Município|Rio Crespo|3843|RO
1100288|N6|Município|Rolim de Moura|55748|RO
1100296|N6|Município|Santa Luzia D'Oeste|5942|RO
1100304|N6|Município|Vilhena|104517|RO
1100320|N6|Município|São Miguel do Guaporé|23147|RO
1100338|N6|Município|Nova Mamoré|32184|RO
1100346|N6|Município|Alvorada D'Oeste|13807|RO
1100379|N6|Município|Alto Alegre dos Parecis|13268|RO
1100403|N6|Município|Alto Paraíso|22258|RO
1100452|N6|Município|Buritis|41043|RO
1100502|N6|Município|Novo Horizonte do Oeste|8125|RO
1100601|N6|Município|Cacaulândia|6307|RO
1100700|N6|Município|Campo Novo de Rondônia|14391|RO
1100809|N6|Município|Candeias do Jamari|28068|RO
1100908|N6|Município|Castanheiras|2923|RO
1100924|N6|Município|Chupinguaia|11755|RO
1100940|N6|Município|Cujubim|27131|RO
1101005|N6|Município|Governador Jorge Teixeira|7130|RO
1101104|N6|Município|Itapuã do Oeste|10819|RO
1101203|N6|Município|Ministro Andreazza|9461|RO
1101302|N6|Município|Mirante da Serra|10691|RO
1101401|N6|Município|Monte Negro|16158|RO
1101435|N6|Município|Nova União|6822|RO
1101450|N6|Município|Parecis|6319|RO
1101468|N6|Município|Pimenteiras do Oeste|2127|RO
1101476|N6|Município|Primavera de Rondônia|2697|RO
1101484|N6|Município|São Felipe D'Oeste|4962|RO
1101492|N6|Município|São Francisco do Guaporé|21088|RO
1101500|N6|Município|Seringueiras|11846|RO
1101559|N6|Município|Teixeirópolis|4160|RO
1101609|N6|Município|Theobroma|10348|RO
1101708|N6|Município|Urupá|11081|RO
1101757|N6|Município|Vale do Anari|11545|RO
1101807|N6|Município|Vale do Paraíso|6490|RO
1200013|N6|Município|Acrelândia|15721|AC
1200054|N6|Município|Assis Brasil|7649|AC
1200104|N6|Município|Brasiléia|27123|AC
1200138|N6|Município|Bujari|10572|AC
1200179|N6|Município|Capixaba|12280|AC
1200203|N6|Município|Cruzeiro do Sul|89760|AC
1200252|N6|Município|Epitaciolândia|18979|AC
1200302|N6|Município|Feijó|34986|AC
1200328|N6|Município|Jordão|8628|AC
