uf,cidade,praia,ponto,latlong,2016,2017,2018,2019,2020,2021,
AL,Barra de Santo Antônio,Barra de Santo Antônio,,"-9.440222, -35.518556",3,3,3,3,-1,3,
AL,Barra de Santo Antônio,Maré Mansa,,"-9.424389, -35.503778",3,3,0,3,-1,2,
AL,Barra de São Miguel,Barra de São Miguel,,"-9.840722, -35.888944",3,2,3,2,-1,1,
AL,Barra de São Miguel,Lagoa Azeda,,"-9.970778, -35.979528",3,3,3,3,-1,3,
AL,Barra de São Miguel,Praia de Atalaia,,"-9.844417, -35.906861",3,3,3,3,-1,3,
AL,Barra de São Miguel,Praia do Gunga,200 m da foz da Lagoa do Roteiro,"-9.860556, -35.904472",3,2,3,3,-1,3,
AL,Barra de São Miguel,Praia do Gunga,Estuário da Lagoa do Roteiro,"-9.860111, -35.905306",3,3,3,3,-1,3,
AL,Coruripe,Lagoa do Pau,,"-10.128917, -36.109417",3,3,3,3,-1,3,
AL,Coruripe,Miai de Baixo,,"-10.220444, -36.215889",3,3,3,3,-1,3,
AL,Coruripe,Miai de Cima,,"-10.202028, -36.189194",3,3,3,3,-1,3,
AL,Coruripe,Pontal do Coruripe,,"-10.161306, -36.13525",3,3,3,3,-1,3,
AL,Feliz Deserto,Pontal do Peba,,"-10.299306, -36.301",3,3,3,3,-1,3,
AL,Feliz Deserto,Praia de Feliz Deserto,,"-10.344694, -36.290972",3,3,3,3,-1,3,
AL,Japaratinga,Japaratinga,Av. Principal,"-9.094278, -35.258472",3,2,1,3,-1,2,
AL,Japaratinga,Japaratinga,R. Amaro Calaça,"-9.088667, -35.256722",3,2,0,3,-1,2,
AL,Jequiá da Praia,Duas Barras,Sul da Foz do Rio Jequiá,"-10.051306, -36.032222",3,3,1,2,-1,2,
AL,Jequiá da Praia,Duas Barras,Foz do Rio Jequiá,"-10.049444, -36.031194",3,3,3,3,-1,3,
AL,Maceió,Pontal da Barra,Em frente ao Detran,"-9.697194, -35.777194",3,3,2,2,-1,3,
AL,Maceió,Pontal da Barra,Em frente ao emissário Braskem,"-9.689139, -35.767833",2,2,3,3,-1,2,
AL,Maceió,Pontal da Barra,Ao sul do emissário da Casal,"-9.677028, -35.754528",3,3,2,3,-1,1,
AL,Maceió,Pontal da Barra,Ao norte do emissário da Casal,"-9.6735, -35.748444",3,2,2,3,-1,1,
AL,Maceió,Praia da Avenida,R. Dias Cabral,"-9.670528, -35.739444",0,0,3,0,-1,0,
AL,Maceió,Praia da Avenida,R. Barão de Anadia,"-9.67025, -35.735806",0,0,3,0,-1,0,
