UF;COD_MUN;NM_MUN;REDE;NOTA
RO;1100015;Alta Floresta D'Oeste;Estadual;3.9
RO;1100015;Alta Floresta D'Oeste;Pública;3.9
RO;1100023;Ariquemes;Estadual;4.1
RO;1100023;Ariquemes;Federal;0.0
RO;1100023;Ariquemes;Pública;3.9
RO;1100031;Cabixi;Estadual;4.1
RO;1100031;Cabixi;Pública;4.1
RO;1100049;Cacoal;Estadual;4.2
RO;1100049;Cacoal;Federal;0.0
RO;1100049;Cacoal;Pública;4.2
RO;1100056;Cerejeiras;Estadual;0.0
RO;1100056;Cerejeiras;Pública;0.0
RO;1100064;Colorado do Oeste;Estadual;4.2
RO;1100064;Colorado do Oeste;Federal;0.0
RO;1100064;Colorado do Oeste;Pública;0.0
RO;1100072;Corumbiara;Estadual;4.4
RO;1100072;Corumbiara;Pública;4.4
RO;1100080;Costa Marques;Estadual;3.9
RO;1100080;Costa Marques;Pública;3.9
RO;1100098;Espigão D'Oeste;Estadual;4.3
RO;1100098;Espigão D'Oeste;Pública;4.3
RO;1100106;Guajará-Mirim;Estadual;3.4
RO;1100106;Guajará-Mirim;Federal;0.0
RO;1100106;Guajará-Mirim;Pública;3.4
RO;1100114;Jaru;Estadual;4.1
RO;1100114;Jaru;Pública;4.1
RO;1100122;Ji-Paraná;Estadual;4.2
RO;1100122;Ji-Paraná;Federal;0.0
RO;1100122;Ji-Paraná;Pública;4.2
RO;1100130;Machadinho D'Oeste;Estadual;3.9
RO;1100130;Machadinho D'Oeste;Pública;3.9
RO;1100148;Nova Brasilândia D'Oeste;Estadual;0.0
RO;1100148;Nova Brasilândia D'Oeste;Pública;0.0
RO;1100155;Ouro Preto do Oeste;Estadual;4.1
RO;1100155;Ouro Preto do Oeste;Pública;4.1
RO;1100189;Pimenta Bueno;Estadual;4.4
RO;1100189;Pimenta Bueno;Pública;4.4
RO;1100205;Porto Velho;Estadual;3.8
RO;1100205;Porto Velho;Federal;0.0
RO;1100205;Porto Velho;Pública;3.8
RO;1100254;Presidente Médici;Estadual;4.1
RO;1100254;Presidente Médici;Pública;4.1
RO;1100262;Rio Crespo;Estadual;0.0
RO;1100262;Rio Crespo;Pública;0.0
RO;1100288;Rolim de Moura;Estadual;4.6
RO;1100288;Rolim de Moura;Pública;4.6
RO;1100296;Santa Luzia D'Oeste;Estadual;0.0
RO;1100296;Santa Luzia D'Oeste;Pública;0.0
RO;1100304;Vilhena;Estadual;3.5
RO;1100304;Vilhena;Federal;0.0
RO;1100304;Vilhena;Pública;3.6
RO;1100320;São Miguel do Guaporé;Estadual;0.0
RO;1100320;São Miguel do Guaporé;Pública;0.0
RO;1100338;Nova Mamoré;Estadual;3.8
RO;1100338;Nova Mamoré;Pública;3.8
RO;1100346;Alvorada D'Oeste;Estadual;0.0
RO;1100346;Alvorada D'Oeste;Pública;0.0
RO;1100379;Alto Alegre dos Parecis;Estadual;0.0
RO;1100379;Alto Alegre dos Parecis;Pública;0.0
RO;1100403;Alto Paraíso;Estadual;0.0
RO;1100403;Alto Paraíso;Pública;0.0
RO;1100452;Buritis;Estadual;3.7
RO;1100452;Buritis;Pública;3.7
RO;1100502;Novo Horizonte do Oeste;Estadual;4.6
RO;1100502;Novo Horizonte do Oeste;Pública;4.6
RO;1100601;Cacaulândia;Estadual;4.4
RO;1100601;Cacaulândia;Pública;4.4
RO;1100700;Campo Novo de Rondônia;Estadual;3.4
RO;1100700;Campo Novo de Rondônia;Pública;3.4
RO;1100809;Candeias do Jamari;Estadual;4.0
RO;1100809;Candeias do Jamari;Pública;4.0
RO;1100908;Castanheiras;Estadual;3.8
RO;1100908;Castanheiras;Pública;3.8
RO;1100924;Chupinguaia;Estadual;3.6
RO;1100924;Chupinguaia;Pública;3.6
RO;1100940;Cujubim;Estadual;0.0
RO;1100940;Cujubim;Pública;0.0
RO;1101005;Governador Jorge Teixeira;Estadual;4.2
RO;1101005;Governador Jorge Teixeira;Pública;4.2
RO;1101104;Itapuã do Oeste;Estadual;0.0
RO;1101104;Itapuã do Oeste;Pública;0.0
RO;1101203;Ministro Andreazza;Estadual;0.0
RO;1101203;Ministro Andreazza;Pública;0.0
RO;1101302;Mirante da Serra;Estadual;0.0
RO;1101302;Mirante da Serra;Pública;0.0
RO;1101401;Monte Negro;Estadual;4.1
RO;1101401;Monte Negro;Pública;4.1
RO;1101435;Nova União;Estadual;0.0
RO;1101435;Nova União;Pública;0.0
RO;1101450;Parecis;Estadual;0.0
RO;1101450;Parecis;Pública;0.0
RO;1101468;Pimenteiras do Oeste;Estadual;0.0
RO;1101468;Pimenteiras do Oeste;Pública;0.0
RO;1101476;Primavera de Rondônia;Estadual;0.0
RO;1101476;Primavera de Rondônia;Pública;0.0
RO;1101484;São Felipe D'Oeste;Estadual;3.7
RO;1101484;São Felipe D'Oeste;Pública;3.7
RO;1101492;São Francisco do Guaporé;Estadual;0.0
RO;1101492;São Francisco do Guaporé;Pública;0.0
RO;1101500;Seringueiras;Estadual;0.0
RO;1101500;Seringueiras;Pública;0.0
RO;1101559;Teixeirópolis;Estadual;0.0
RO;1101559;Teixeirópolis;Pública;0.0
RO;1101609;Theobroma;Estadual;0.0
RO;1101609;Theobroma;Pública;0.0
RO;1101708;Urupá;Estadual;0.0
RO;1101708;Urupá;Pública;0.0
RO;1101757;Vale do Anari;Estadual;3.9
RO;1101757;Vale do Anari;Pública;3.9
RO;1101807;Vale do Paraíso;Estadual;0.0
RO;1101807;Vale do Paraíso;Pública;0.0
AC;1200013;Acrelândia;Estadual;0.0
AC;1200013;Acrelândia;Pública;0.0
AC;1200054;Assis Brasil;Estadual;0.0
AC;1200054;Assis Brasil;Pública;0.0
AC;1200104;Brasiléia;Estadual;0.0
AC;1200104;Brasiléia;Pública;0.0
AC;1200138;Bujari;Estadual;0.0
AC;1200138;Bujari;Pública;0.0
AC;1200179;Capixaba;Estadual;3.3
AC;1200179;Capixaba;Pública;3.3
AC;1200203;Cruzeiro do Sul;Estadual;3.8
AC;1200203;Cruzeiro do Sul;Federal;0.0
AC;1200203;Cruzeiro do Sul;Pública;3.8
AC;1200252;Epitaciolândia;Estadual;4.0
AC;1200252;Epitaciolândia;Pública;4.0
AC;1200302;Feijó;Estadual;4.0
AC;1200302;Feijó;Pública;4.0
AC;1200328;Jordão;Estadual;0.0
AC;1200328;Jordão;Pública;0.0
AC;1200336;Mâncio Lima;Estadual;3.6
AC;1200336;Mâncio Lima;Pública;3.6
AC;1200344;Manoel Urbano;Estadual;0.0
AC;1200344;Manoel Urbano;Pública;0.0
AC;1200351;Marechal Thaumaturgo;Estadual;0.0
AC;1200351;Marechal Thaumaturgo;Pública;0.0
AC;1200385;Plácido de Castro;Estadual;0.0
AC;1200385;Plácido de Castro;Pública;0.0
AC;1200393;Porto Walter;Estadual;0.0
AC;1200393;Porto Walter;Pública;0.0
AC;1200401;Rio Branco;Estadual;4.0
AC;1200401;Rio Branco;Federal;0.0
AC;1200401;Rio Branco;Pública;4.0
AC;1200427;Rodrigues Alves;Estadual;0.0
AC;1200427;Rodrigues Alves;Pública;0.0
AC;1200435;Santa Rosa do Purus;Estadual;2.9
AC;1200435;Santa Rosa do Purus;Pública;2.9
AC;1200450;Senador Guiomard;Estadual;4.1
AC;1200450;Senador Guiomard;Pública;4.1
AC;1200500;Sena Madureira;Estadual;0.0
AC;1200500;Sena Madureira;Federal;0.0
AC;1200500;Sena Madureira;Pública;0.0
AC;1200609;Tarauacá;Estadual;0.0
AC;1200609;Tarauacá;Federal;0.0
AC;1200609;Tarauacá;Pública;0.0
AC;1200708;Xapuri;Estadual;0.0
AC;1200708;Xapuri;Federal;0.0
AC;1200708;Xapuri;Pública;0.0
AC;1200807;Porto Acre;Estadual;3.4
AC;1200807;Porto Acre;Pública;3.4
AM;1300029;Alvarães;Estadual;3.2
AM;1300029;Alvarães;Pública;3.2
AM;1300060;Amaturá;Estadual;3.0
AM;1300060;Amaturá;Pública;3.0
AM;1300086;Anamã;Estadual;3.6
AM;1300086;Anamã;Pública;3.6
AM;1300102;Anori;Estadual;4.0
AM;1300102;Anori;Pública;4.0
AM;1300144;Apuí;Estadual;4.1
AM;1300144;Apuí;Pública;4.1
AM;1300201;Atalaia do Norte;Estadual;2.2
AM;1300201;Atalaia do Norte;Pública;2.2
AM;1300300;Autazes;Estadual;0.0
AM;1300300;Autazes;Pública;0.0
AM;1300409;Barcelos;Estadual;3.3
AM;1300409;Barcelos;Pública;3.3
AM;1300508;Barreirinha;Estadual;3.1
AM;1300508;Barreirinha;Pública;3.1
AM;1300607;Benjamin Constant;Estadual;2.8
AM;1300607;Benjamin Constant;Pública;2.8
AM;1300631;Beruri;Estadual;3.5
AM;1300631;Beruri;Pública;3.5
AM;1300680;Boa Vista do Ramos;Estadual;3.1
AM;1300680;Boa Vista do Ramos;Pública;3.1
AM;1300706;Boca do Acre;Estadual;3.6
AM;1300706;Boca do Acre;Pública;3.6
AM;1300805;Borba;Estadual;3.1
AM;1300805;Borba;Municipal;0.0
AM;1300805;Borba;Pública;3.1
AM;1300839;Caapiranga;Estadual;3.1
AM;1300839;Caapiranga;Pública;3.1
