UF;COD_MUN;NM_MUN;REDE;NOTA
RO;1100015;Alta Floresta D'Oeste;Estadual;4.8
RO;1100015;Alta Floresta D'Oeste;Municipal;4.7
RO;1100015;Alta Floresta D'Oeste;Pública;4.8
RO;1100023;Ariquemes;Estadual;5.1
RO;1100023;Ariquemes;Municipal;4.8
RO;1100023;Ariquemes;Pública;5.0
RO;1100031;Cabixi;Estadual;4.9
RO;1100031;Cabixi;Pública;4.9
RO;1100049;Cacoal;Estadual;5.1
RO;1100049;Cacoal;Municipal;4.7
RO;1100049;Cacoal;Pública;5.1
RO;1100056;Cerejeiras;Estadual;5.0
RO;1100056;Cerejeiras;Municipal;0.0
RO;1100056;Cerejeiras;Pública;5.0
RO;1100064;Colorado do Oeste;Estadual;5.4
RO;1100064;Colorado do Oeste;Municipal;0.0
RO;1100064;Colorado do Oeste;Pública;5.4
RO;1100072;Corumbiara;Estadual;5.1
RO;1100072;Corumbiara;Municipal;0.0
RO;1100072;Corumbiara;Pública;5.1
RO;1100080;Costa Marques;Estadual;5.0
RO;1100080;Costa Marques;Municipal;0.0
RO;1100080;Costa Marques;Pública;4.7
RO;1100098;Espigão D'Oeste;Estadual;5.1
RO;1100098;Espigão D'Oeste;Municipal;0.0
RO;1100098;Espigão D'Oeste;Pública;5.0
RO;1100106;Guajará-Mirim;Estadual;4.4
RO;1100106;Guajará-Mirim;Pública;4.4
RO;1100114;Jaru;Estadual;5.0
RO;1100114;Jaru;Municipal;0.0
RO;1100114;Jaru;Pública;5.0
RO;1100122;Ji-Paraná;Estadual;5.0
RO;1100122;Ji-Paraná;Municipal;0.0
RO;1100122;Ji-Paraná;Pública;5.0
RO;1100130;Machadinho D'Oeste;Estadual;0.0
RO;1100130;Machadinho D'Oeste;Municipal;0.0
RO;1100130;Machadinho D'Oeste;Pública;0.0
RO;1100148;Nova Brasilândia D'Oeste;Estadual;5.9
RO;1100148;Nova Brasilândia D'Oeste;Municipal;5.0
RO;1100148;Nova Brasilândia D'Oeste;Pública;5.6
RO;1100155;Ouro Preto do Oeste;Estadual;5.2
RO;1100155;Ouro Preto do Oeste;Municipal;0.0
RO;1100155;Ouro Preto do Oeste;Pública;5.2
RO;1100189;Pimenta Bueno;Estadual;5.0
RO;1100189;Pimenta Bueno;Municipal;0.0
RO;1100189;Pimenta Bueno;Pública;5.1
RO;1100205;Porto Velho;Estadual;4.4
RO;1100205;Porto Velho;Municipal;0.0
RO;1100205;Porto Velho;Pública;4.4
RO;1100254;Presidente Médici;Estadual;5.4
RO;1100254;Presidente Médici;Municipal;0.0
RO;1100254;Presidente Médici;Pública;5.4
RO;1100262;Rio Crespo;Estadual;0.0
RO;1100262;Rio Crespo;Municipal;0.0
RO;1100262;Rio Crespo;Pública;0.0
RO;1100288;Rolim de Moura;Estadual;5.4
RO;1100288;Rolim de Moura;Municipal;0.0
RO;1100288;Rolim de Moura;Pública;5.4
RO;1100296;Santa Luzia D'Oeste;Estadual;5.2
RO;1100296;Santa Luzia D'Oeste;Municipal;0.0
RO;1100296;Santa Luzia D'Oeste;Pública;5.2
RO;1100304;Vilhena;Estadual;5.1
RO;1100304;Vilhena;Municipal;5.0
RO;1100304;Vilhena;Pública;5.1
RO;1100320;São Miguel do Guaporé;Estadual;0.0
RO;1100320;São Miguel do Guaporé;Municipal;0.0
RO;1100320;São Miguel do Guaporé;Pública;0.0
RO;1100338;Nova Mamoré;Estadual;4.4
RO;1100338;Nova Mamoré;Municipal;0.0
RO;1100338;Nova Mamoré;Pública;4.4
RO;1100346;Alvorada D'Oeste;Estadual;4.9
RO;1100346;Alvorada D'Oeste;Municipal;4.6
RO;1100346;Alvorada D'Oeste;Pública;4.8
RO;1100379;Alto Alegre dos Parecis;Estadual;5.3
RO;1100379;Alto Alegre dos Parecis;Municipal;0.0
RO;1100379;Alto Alegre dos Parecis;Pública;4.6
RO;1100403;Alto Paraíso;Estadual;5.0
RO;1100403;Alto Paraíso;Municipal;0.0
RO;1100403;Alto Paraíso;Pública;4.9
RO;1100452;Buritis;Estadual;4.6
RO;1100452;Buritis;Municipal;0.0
RO;1100452;Buritis;Pública;4.6
RO;1100502;Novo Horizonte do Oeste;Estadual;5.0
RO;1100502;Novo Horizonte do Oeste;Municipal;0.0
RO;1100502;Novo Horizonte do Oeste;Pública;5.0
RO;1100601;Cacaulândia;Estadual;4.3
RO;1100601;Cacaulândia;Municipal;0.0
RO;1100601;Cacaulândia;Pública;4.3
RO;1100700;Campo Novo de Rondônia;Estadual;0.0
RO;1100700;Campo Novo de Rondônia;Municipal;0.0
RO;1100700;Campo Novo de Rondônia;Pública;0.0
RO;1100809;Candeias do Jamari;Estadual;4.0
RO;1100809;Candeias do Jamari;Municipal;0.0
RO;1100809;Candeias do Jamari;Pública;3.9
RO;1100908;Castanheiras;Estadual;4.7
RO;1100908;Castanheiras;Pública;4.7
RO;1100924;Chupinguaia;Estadual;0.0
RO;1100924;Chupinguaia;Municipal;0.0
RO;1100924;Chupinguaia;Pública;0.0
RO;1100940;Cujubim;Estadual;0.0
RO;1100940;Cujubim;Municipal;0.0
RO;1100940;Cujubim;Pública;0.0
RO;1101005;Governador Jorge Teixeira;Estadual;4.9
RO;1101005;Governador Jorge Teixeira;Municipal;0.0
RO;1101005;Governador Jorge Teixeira;Pública;4.8
RO;1101104;Itapuã do Oeste;Estadual;0.0
RO;1101104;Itapuã do Oeste;Pública;0.0
RO;1101203;Ministro Andreazza;Estadual;6.2
RO;1101203;Ministro Andreazza;Municipal;0.0
RO;1101203;Ministro Andreazza;Pública;5.8
RO;1101302;Mirante da Serra;Estadual;4.8
RO;1101302;Mirante da Serra;Municipal;0.0
RO;1101302;Mirante da Serra;Pública;4.8
RO;1101401;Monte Negro;Estadual;4.4
RO;1101401;Monte Negro;Municipal;0.0
RO;1101401;Monte Negro;Pública;4.4
RO;1101435;Nova União;Estadual;4.4
RO;1101435;Nova União;Municipal;0.0
RO;1101435;Nova União;Pública;4.5
RO;1101450;Parecis;Estadual;0.0
RO;1101450;Parecis;Municipal;0.0
RO;1101450;Parecis;Pública;4.6
RO;1101468;Pimenteiras do Oeste;Estadual;4.3
RO;1101468;Pimenteiras do Oeste;Pública;4.3
RO;1101476;Primavera de Rondônia;Estadual;0.0
RO;1101476;Primavera de Rondônia;Pública;0.0
RO;1101484;São Felipe D'Oeste;Estadual;4.7
RO;1101484;São Felipe D'Oeste;Municipal;0.0
RO;1101484;São Felipe D'Oeste;Pública;4.7
RO;1101492;São Francisco do Guaporé;Estadual;4.9
RO;1101492;São Francisco do Guaporé;Municipal;0.0
RO;1101492;São Francisco do Guaporé;Pública;5.0
RO;1101500;Seringueiras;Estadual;5.0
RO;1101500;Seringueiras;Municipal;0.0
RO;1101500;Seringueiras;Pública;5.0
RO;1101559;Teixeirópolis;Estadual;0.0
RO;1101559;Teixeirópolis;Municipal;0.0
