UF;tipo_de_crime;ano;qtd;taxa_100mil_hab
AC;Estupro (incluindo Estupro de Vulnerável);2009;131;18.95441102
AL;Estupro (incluindo Estupro de Vulnerável);2009;142;4.499212321
AM;Estupro (incluindo Estupro de Vulnerável);2009;694;20.45165144
AP;Estupro (incluindo Estupro de Vulnerável);2009;169;26.97056697
BA;Estupro (incluindo Estupro de Vulnerável);2009;2242;15.31696554
Brasil;Estupro (incluindo Estupro de Vulnerável);2009;33912;17.70799396
CE;Estupro (incluindo Estupro de Vulnerável);2009;1145;13.3952455
DF;Estupro (incluindo Estupro de Vulnerável);2009;601;23.05433496
ES;Estupro (incluindo Estupro de Vulnerável);2009;226;6.480846089
GO;Estupro (incluindo Estupro de Vulnerável);2009;1400;23.62350877
MA;Estupro (incluindo Estupro de Vulnerável);2009;960;15.07741783
MG;Estupro (incluindo Estupro de Vulnerável);2009;937;4.677127226
MS;Estupro (incluindo Estupro de Vulnerável);2009;741;31.39168091
MT;Estupro (incluindo Estupro de Vulnerável);2009;1143;38.07852371
PA;Estupro (incluindo Estupro de Vulnerável);2009;1554;20.83914713
PB;Estupro (incluindo Estupro de Vulnerável);2009;257;6.817017717
PE;Estupro (incluindo Estupro de Vulnerável);2009;1528;17.34342339
PI;Estupro (incluindo Estupro de Vulnerável);2009;313;9.951276895
PR;Estupro (incluindo Estupro de Vulnerável);2009;1524;14.26132112
RJ;Estupro (incluindo Estupro de Vulnerável);2009;3778;23.5971191
RN;Estupro (incluindo Estupro de Vulnerável);2009;495;15.77668626
RO;Estupro (incluindo Estupro de Vulnerável);2009;569;37.83425802
RR;Estupro (incluindo Estupro de Vulnerável);2009;363;86.12120076
RS;Estupro (incluindo Estupro de Vulnerável);2009;3615;33.12220637
SC;Estupro (incluindo Estupro de Vulnerável);2009;3063;50.0593014
SE;Estupro (incluindo Estupro de Vulnerável);2009;330;16.33923014
SP;Estupro (incluindo Estupro de Vulnerável);2009;5645;13.64052455
TO;Estupro (incluindo Estupro de Vulnerável);2009;347;26.85652501
AC;Estupro (incluindo Estupro de Vulnerável);2010;169;23.03836501
AL;Estupro (incluindo Estupro de Vulnerável);2010;391;12.53006735
AM;Estupro (incluindo Estupro de Vulnerável);2010;1144;32.83596227
AP;Estupro (incluindo Estupro de Vulnerável);2010;66;9.857720238
BA;Estupro (incluindo Estupro de Vulnerável);2010;2160;15.4099628
Brasil;Estupro (incluindo Estupro de Vulnerável);2010;41180;21.58781029
CE;Estupro (incluindo Estupro de Vulnerável);2010;577;6.826478835
DF;Estupro (incluindo Estupro de Vulnerável);2010;760;29.57014349
ES;Estupro (incluindo Estupro de Vulnerável);2010;885;25.17815322
GO;Estupro (incluindo Estupro de Vulnerável);2010;1141;19.00466839
MA;Estupro (incluindo Estupro de Vulnerável);2010;845;12.85212347
MG;Estupro (incluindo Estupro de Vulnerável);2010;2295;11.71077897
MS;Estupro (incluindo Estupro de Vulnerável);2010;943;38.50513511
MT;Estupro (incluindo Estupro de Vulnerável);2010;1075;35.4186751
PA;Estupro (incluindo Estupro de Vulnerável);2010;1471;19.40364205
PB;Estupro (incluindo Estupro de Vulnerável);2010;261;6.929458642
PE;Estupro (incluindo Estupro de Vulnerável);2010;1861;21.15626671
PI;Estupro (incluindo Estupro de Vulnerável);2010;281;9.011146885
PR;Estupro (incluindo Estupro de Vulnerável);2010;2643;25.30512155
RJ;Estupro (incluindo Estupro de Vulnerável);2010;4467;27.93633418
RN;Estupro (incluindo Estupro de Vulnerável);2010;698;22.0326405
RO;Estupro (incluindo Estupro de Vulnerável);2010;735;47.04273977
RR;Estupro (incluindo Estupro de Vulnerável);2010;306;67.92769474
RS;Estupro (incluindo Estupro de Vulnerável);2010;3373;31.54126047
