UF;tipo_de_crime;ano;qtd;taxa_100mil_veic
AC;Roubo e furto de veículos;2013;0;0
AL;Roubo e furto de veículos;2013;3964;651.8214496
AM;Roubo e furto de veículos;2013;3426;493.163936
AP;Roubo e furto de veículos;2013;825;544.4538303
BA;Roubo e furto de veículos;2013;17812;568.6340174
Brasil;Roubo e furto de veículos;2013;456762;563.2801595
CE;Roubo e furto de veículos;2013;14234;604.1498482
DF;Roubo e furto de veículos;2013;11400;758.6087116
ES;Roubo e furto de veículos;2013;7111;451.9221786
GO;Roubo e furto de veículos;2013;9442;300.1363996
MA;Roubo e furto de veículos;2013;3446;286.3757922
MG;Roubo e furto de veículos;2013;17535;198.3891951
MS;Roubo e furto de veículos;2013;4106;330.21641
MT;Roubo e furto de veículos;2013;6486;418.0669913
PA;Roubo e furto de veículos;2013;6103;432.2228777
PB;Roubo e furto de veículos;2013;0;0
PE;Roubo e furto de veículos;2013;10672;448.5909025
PI;Roubo e furto de veículos;2013;2812;332.7649191
PR;Roubo e furto de veículos;2013;22936;363.382352
RJ;Roubo e furto de veículos;2013;45670;824.8908605
RN;Roubo e furto de veículos;2013;0;0
RO;Roubo e furto de veículos;2013;3923;520.627354
RR;Roubo e furto de veículos;2013;98;59.78416696
RS;Roubo e furto de veículos;2013;28871;493.8956307
SC;Roubo e furto de veículos;2013;15091;361.7450152
SE;Roubo e furto de veículos;2013;0;0
SP;Roubo e furto de veículos;2013;215510;881.0592138
TO;Roubo e furto de veículos;2013;1598;305.6717606
AC;Roubo e furto de veículos;2014;237;106.0165511
AL;Roubo e furto de veículos;2014;4553;677.9262277
AM;Roubo e furto de veículos;2014;4433;586.5595431
AP;Roubo e furto de veículos;2014;893;541.3925854
BA;Roubo e furto de veículos;2014;20060;585.7375534
Brasil;Roubo e furto de veículos;2014;513023;591.7186858
CE;Roubo e furto de veículos;2014;0;0
DF;Roubo e furto de veículos;2014;15477;975.7472249
ES;Roubo e furto de veículos;2014;6799;403.4286989
GO;Roubo e furto de veículos;2014;23195;684.8845868
MA;Roubo e furto de veículos;2014;5082;377.7239493
MG;Roubo e furto de veículos;2014;35876;380.1628652
MS;Roubo e furto de veículos;2014;4719;352.3216722
MT;Roubo e furto de veículos;2014;8364;492.8857447
PA;Roubo e furto de veículos;2014;7106;448.1058604
PB;Roubo e furto de veículos;2014;2178;210.2233406
PE;Roubo e furto de veículos;2014;12285;478.175204
PI;Roubo e furto de veículos;2014;4322;456.0972135
PR;Roubo e furto de veículos;2014;24992;372.1210573
RJ;Roubo e furto de veículos;2014;50336;850.9009719
RN;Roubo e furto de veículos;2014;3571;342.2110803
RO;Roubo e furto de veículos;2014;3901;477.511895
RR;Roubo e furto de veículos;2014;827;462.483992
RS;Roubo e furto de veículos;2014;32722;526.2497668
SC;Roubo e furto de veículos;2014;17045;383.3825429
SE;Roubo e furto de veículos;2014;2801;449.8998527
SP;Roubo e furto de veículos;2014;221532;861.3806042
