cod;nome;período;valor
4100608;"Alto Paraná";2007;10
4100707;"Alto Piquiri";2007;6
4100806;"Alvorada do Sul";2007;3
4100905;Amaporã;2007;0
4101002;Ampére;2007;12
4101051;Anahy;2007;3
4101101;Andirá;2007;17
4101150;Ângulo;2007;0
4101200;Antonina;2007;28
4101309;"Antônio Olinto";2007;9
4101408;Apucarana;2007;77
4101507;Arapongas;2007;90
4101606;Arapoti;2007;15
4101655;Arapuã;2007;3
4101705;Araruna;2007;12
4101804;Araucária;2007;79
4101853;"Ariranha do Ivaí";2007;1
4101903;Assaí;2007;6
4102000;"Assis Chateaubriand";2007;32
4102109;Astorga;2007;18
4102208;Atalaia;2007;2
4102307;"Balsa Nova";2007;8
4102406;Bandeirantes;2007;21
4102505;"Barbosa Ferraz";2007;6
4102604;Barracão;2007;7
4102703;"Barra do Jacaré";2007;3
4102752;"Bela Vista da Caroba";2007;0
4102802;"Bela Vista do Paraíso";2007;7
4102901;Bituruna;2007;11
4103008;"Boa Esperança";2007;3
4103024;"Boa Esperança do Iguaçu";2007;0
4103040;"Boa Ventura de São Roque";2007;7
4103057;"Boa Vista da Aparecida";2007;12
4103107;"Bocaiúva do Sul";2007;11
4103156;"Bom Jesus do Sul";2007;0
4103206;"Bom Sucesso";2007;5
4103222;"Bom Sucesso do Sul";2007;1
4103305;Borrazópolis;2007;9
4103354;Braganey;2007;5
4103370;"Brasilândia do Sul";2007;1
4103404;Cafeara;2007;1
4103453;Cafelândia;2007;12
4103479;"Cafezal do Sul";2007;6
4103503;Califórnia;2007;5
4103602;Cambará;2007;21
4103701;Cambé;2007;72
4103800;Cambira;2007;6
4103909;"Campina da Lagoa";2007;9
4103958;"Campina do Simão";2007;4
4104006;"Campina Grande do Sul";2007;49
4104055;"Campo Bonito";2007;8
4104105;"Campo do Tenente";2007;5
4104204;"Campo Largo";2007;77
4104253;"Campo Magro";2007;26
4104303;"Campo Mourão";2007;78
4104402;"Cândido de Abreu";2007;11
4104428;Candói;2007;9
4104451;Cantagalo;2007;21
4104501;Capanema;2007;15
4104600;"Capitão Leônidas Marques";2007;14
4104659;Carambeí;2007;13
4104709;Carlópolis;2007;9
4104808;Cascavel;2007;246
4104907;Castro;2007;52
4105003;Catanduvas;2007;11
4105102;"Centenário do Sul";2007;6
4105201;"Cerro Azul";2007;12
4105300;"Céu Azul";2007;6
4105409;Chopinzinho;2007;13
4105508;Cianorte;2007;56
4105607;"Cidade Gaúcha";2007;10
4105706;Clevelândia;2007;12
4105805;Colombo;2007;241
4105904;Colorado;2007;12
4106001;Congonhinhas;2007;11
4106100;"Conselheiro Mairinck";2007;4
4106209;Contenda;2007;12
4106308;Corbélia;2007;14
4106407;"Cornélio Procópio";2007;36
4106456;"Coronel Domingos Soares";2007;11
4106506;"Coronel Vivida";2007;24
4106555;"Corumbataí do Sul";2007;3
4106571;"Cruzeiro do Iguaçu";2007;3
4106605;"Cruzeiro do Oeste";2007;16
4106704;"Cruzeiro do Sul";2007;6
4106803;"Cruz Machado";2007;15
4106852;Cruzmaltina;2007;3
4106902;Curitiba;2007;1558
4107009;Curiúva;2007;14
4107108;"Diamante do Norte";2007;4
4107124;"Diamante do Sul";2007;2
4107157;"Diamante D'Oeste";2007;3
4107207;"Dois Vizinhos";2007;28
4107256;Douradina;2007;5
4107306;"Doutor Camargo";2007;2
4107405;"Enéas Marques";2007;4
4107504;"Engenheiro Beltrão";2007;13
4107520;"Esperança Nova";2007;2
4107538;"Entre Rios do Oeste";2007;2
4107546;"Espigão Alto do Iguaçu";2007;5
4107553;Farol;2007;4
4107603;Faxinal;2007;8
4107652;"Fazenda Rio Grande";2007;90
4107702;Fênix;2007;7
4107736;"Fernandes Pinheiro";2007;4
4107751;Figueira;2007;13
4107801;Floraí;2007;2
4107850;"Flor da Serra do Sul";2007;3
4107900;Floresta;2007;4
4108007;Florestópolis;2007;17
4108106;Flórida;2007;0
4108205;"Formosa do Oeste";2007;7
4108304;"Foz do Iguaçu";2007;411
4108320;"Francisco Alves";2007;6
4108403;"Francisco Beltrão";2007;48
4108452;"Foz do Jordão";2007;6
4108502;"General Carneiro";2007;8
4108551;"Godoy Moreira";2007;3
