REGIAO;UF;COD_MUN;NM_MUN;ESTADUAL;FEDERAL;MUNICIPAL;PRIVADA
Centro-Oeste;DF;5300108;Brasília;570;11;0;350
Centro-Oeste;GO;5200050;Abadia de Goiás;1;0;5;1
Centro-Oeste;GO;5200100;Abadiânia;2;0;6;3
Centro-Oeste;GO;5200134;Acreúna;3;0;4;3
Centro-Oeste;GO;5200159;Adelândia;1;0;1;0
Centro-Oeste;GO;5200175;Água Fria de Goiás;2;0;3;0
Centro-Oeste;GO;5200209;Água Limpa;1;0;1;0
Centro-Oeste;GO;5200258;Águas Lindas de Goiás;17;1;42;31
Centro-Oeste;GO;5200308;Alexânia;4;0;17;3
Centro-Oeste;GO;5200506;Aloândia;1;0;0;0
Centro-Oeste;GO;5200555;Alto Horizonte;1;0;2;0
Centro-Oeste;GO;5200605;Alto Paraíso de Goiás;2;0;5;3
Centro-Oeste;GO;5200803;Alvorada do Norte;4;0;5;0
Centro-Oeste;GO;5200829;Amaralina;1;0;4;0
Centro-Oeste;GO;5200852;Americano do Brasil;2;0;1;0
Centro-Oeste;GO;5200902;Amorinópolis;1;0;2;0
Centro-Oeste;GO;5201108;Anápolis;40;1;62;74
Centro-Oeste;GO;5201207;Anhanguera;1;0;1;0
Centro-Oeste;GO;5201306;Anicuns;4;0;5;3
Centro-Oeste;GO;5201405;Aparecida de Goiânia;54;1;62;48
Centro-Oeste;GO;5201454;Aparecida do Rio Doce;1;0;1;0
Centro-Oeste;GO;5201504;Aporé;1;0;2;0
Centro-Oeste;GO;5201603;Araçu;1;0;1;0
Centro-Oeste;GO;5201702;Aragarças;5;0;4;1
Centro-Oeste;GO;5201801;Aragoiânia;1;0;5;1
Centro-Oeste;GO;5202155;Araguapaz;2;0;5;0
Centro-Oeste;GO;5202353;Arenópolis;1;0;2;0
Centro-Oeste;GO;5202502;Aruanã;3;0;2;0
Centro-Oeste;GO;5202601;Aurilândia;1;0;1;0
Centro-Oeste;GO;5202809;Avelinópolis;1;0;1;0
Centro-Oeste;GO;5203104;Baliza;3;0;2;0
Centro-Oeste;GO;5203203;Barro Alto;2;0;7;0
Centro-Oeste;GO;5203302;Bela Vista de Goiás;6;0;8;5
Centro-Oeste;GO;5203401;Bom Jardim de Goiás;2;0;1;1
Centro-Oeste;GO;5203500;Bom Jesus de Goiás;2;0;7;3
Centro-Oeste;GO;5203559;Bonfinópolis;2;0;3;0
Centro-Oeste;GO;5203575;Bonópolis;1;0;3;0
Centro-Oeste;GO;5203609;Brazabrantes;2;0;2;0
Centro-Oeste;GO;5203807;Britânia;2;0;3;0
Centro-Oeste;GO;5203906;Buriti Alegre;2;0;3;1
Centro-Oeste;GO;5203939;Buriti de Goiás;1;0;1;0
Centro-Oeste;GO;5203962;Buritinópolis;1;0;2;0
Centro-Oeste;GO;5204003;Cabeceiras;3;0;4;1
Centro-Oeste;GO;5204102;Cachoeira Alta;2;0;2;1
Centro-Oeste;GO;5204201;Cachoeira de Goiás;1;0;1;0
Centro-Oeste;GO;5204250;Cachoeira Dourada;1;0;2;0
Centro-Oeste;GO;5204300;Caçu;1;0;5;3
Centro-Oeste;GO;5204409;Caiapônia;3;0;7;2
Centro-Oeste;GO;5204508;Caldas Novas;9;0;16;12
Centro-Oeste;GO;5204557;Caldazinha;1;0;1;0
Centro-Oeste;GO;5204607;Campestre de Goiás;2;0;1;0
Centro-Oeste;GO;5204656;Campinaçu;1;0;2;0
Centro-Oeste;GO;5204706;Campinorte;3;0;4;1
Centro-Oeste;GO;5204805;Campo Alegre de Goiás;1;0;4;0
Centro-Oeste;GO;5204854;Campo Limpo de Goiás;1;0;1;1
Centro-Oeste;GO;5204904;Campos Belos;4;1;7;2
Centro-Oeste;GO;5204953;Campos Verdes;1;0;1;0
Centro-Oeste;GO;5205000;Carmo do Rio Verde;2;0;4;1
Centro-Oeste;GO;5205059;Castelândia;1;0;1;0
Centro-Oeste;GO;5205109;Catalão;13;1;19;18
Centro-Oeste;GO;5205208;Caturaí;1;0;1;0
Centro-Oeste;GO;5205307;Cavalcante;2;0;18;1
Centro-Oeste;GO;5205406;Ceres;5;1;2;5
Centro-Oeste;GO;5205455;Cezarina;2;0;3;1
